,Sentence
0,1st family: a healthy queen observed workers are active abundant nectar and pollen collected with a full count of eggs and six honey frames filled.
1,2nd family: queenright with an extensive brood pattern workers exhibit high foraging behavior honey stores are high and seven honey frames are heavy with product.
2,3rd family: Queen’s presence confirmed strong brood development a significant amount of propolis bees actively foraging for nectar and all ten honey frames being filled.
3,4th family: Queen is laying well the worker population is high honey and beeswax levels are sufficient and there is steady nectar collection with seven honey frames completed.
4,5th family: Queen is healthy drone population is normal abundant forage activity noted a high volume of eggs present and five honey frames ready for harvest.
5,6th family: The queen is missing worker morale seems low reduced pollen intake minimal egg laying and only two honey frames showing progress.
6,7th family: Queen is vibrant strong scent of propolis workers bringing in ample nectar egg count satisfactory with all honey frames in active production.
7,8th family: Queen is old but active workers are steady good pollen reserves adequate egg laying observed and four honey frames fully capped.
8,9th family: New queen seen workers are energetic despite the rain honey stores are fair and nectar foraging is ongoing with five honey frames filled.
9,10th family: Queen’s health is excellent worker bees are efficiently foraging high beeswax production egg laying at peak with seven honey frames sealed.
10,11th family: an exceptionally healthy queen with workers displaying an impressive haul of nectar and pollen; the brood chamber is teeming with new eggs and almost all honey frames are nearing completion.
11,12th family: a queen in her prime workers in a frenzy of productivity ample stores of propolis and honey and a brood pattern so perfect it could be featured in a beekeeping manual.
12,13th family: a newly emerged queen already proving her worth workers efficiently managing the nectar flow despite the recent dry spell and honey frames well on their way to being filled to the brim.
13,14th family: Queen present strong brood ample pollen and nectar ten frames of honey.
14,15th family: Weak queen sparse brood low forage yield three honey frames.
15,16th family: Queen laying well high worker activity rich pollen eight honey frames capped.
16,17th family: No queen seen brood declining forage poor two honey frames half-filled.
17,18th family: Strong queen robust brood excellent pollen and nectar nine full honey frames.
18,19th family: Queen healthy brood good forage average four honey frames ready.
19,20th family: Queen absent replacing workers active six honey frames being filled.
20,21st family: Queen spotted brood expanding good pollen collection seven honey frames sealed.
21,22nd family: Queen vibrant full brood chamber high forage activity ten honey frames heavy.
22,23rd family: Old queen brood steady moderate foraging five honey frames completed.
23,24th family: New queen workers bustling abundant forage six full honey frames.
24,25th family: Queen present brood healthy foraging successful seven honey frames capped.
25,26th family: Queen unspotted brood fair forage low four honey frames stored.
26,27th family: Active queen strong brood good nectar flow eight honey frames filled.
27,28th family: Queen productive brood plentiful forage high nine honey frames ready.
28,29th family: Queen missing brood sparse pollen scarce two honey frames half-full.
29,30th family: Queen sighted workers energetic ample pollen five honey frames sealed.
30,31st family: Healthy queen brood expanding forage abundant seven honey frames stocked.
31,32nd family: Strong queen brood vibrant high nectar intake full ten honey frames.
32,33rd family: Queen aging steady brood moderate forage six honey frames processed.
33,34th family: Queen laying eggs brood area growing plentiful forage five frames of honey.
34,35th family: No queen detected brood suffering poor forage three honey frames used.
35,36th family: Queen healthy brood strong rich nectar sources eight frames well-stocked.
36,37th family: Queen visible brood stable good pollen harvest seven honey frames capped.
37,38th family: Queen active brood present forage adequate four honey frames filled.
38,39th family: Queen not found workers listless low forage two honey frames empty.
39,40th family: Queen productive brood excellent forage rich six honey frames sealed.
40,41st family: Queen reigning strong brood high nectar and pollen nine honey frames full.
41,42nd family: Queen prolific brood dense abundant forage ten honey frames harvested.
42,43rd family: Queen in decline brood okay forage moderate five honey frames completed.
43,44th family: Queen excellent brood numerous forage plentiful eight honey frames topped.
44,45th family: Queen absent brood dwindling forage limited three honey frames partial.
45,46th family: Queen spotted brood healthy good forage seven honey frames filled.
46,47th family: Queen strong brood expanding rich pollen sources nine frames capped.
47,48th family: Queen laying brood vibrant forage successful six frames with honey.
48,49th family: Queen unseen brood small low nectar yield two frames needing work.
49,50th family: Queen active brood stable forage good five honey frames sealed.
50,51st family: Queen present brood large forage excellent ten frames heavy with honey.
51,52nd family: Queen new brood growing pollen abundant four frames well-stocked.
52,53rd family: Queen old brood fair forage average seven honey frames ready.
53,54th family: Queen active worker bees numerous drone count normal eggs abundant propolis and six honey frames collected.
54,55th family: No queen workers agitated drones scarce few eggs some beeswax but only three frames of honey.
55,56th family: Queen laying profusely high worker and drone activity egg count high plenty of honey and beeswax across eight frames.
56,57th family: Queen present worker numbers strong drone population up eggs plentiful and seven honey frames along with substantial beeswax.
57,58th family: Queen seen workers busy normal amount of drones good egg production ample honey and propolis on five frames.
58,59th family: Queen not found worker bees sluggish drone numbers low egg count down but still five frames of honey.
59,60th family: Queen healthy workers efficient drones adequate many eggs laid high honey yield and beeswax on nine frames.
60,61st family: Queen excellent workers hard at work drone presence good egg count excellent and eight honey frames full.
61,62nd family: New queen workers active enough drones satisfactory egg count honey and propolis gathered on six frames.
62,63rd family: Aging queen stable worker population fewer drones moderate eggs beeswax and seven frames of honey noted.
63,64th family: Queen robust workers tireless drone count high eggs numerous rich in propolis with all ten honey frames stocked.
64,65th family: No queen worker count low drones absent eggs missing limited beeswax and only two honey frames filled.
65,66th family: Queen laying steadily workers foraging well drones healthy egg layers active abundant honey and seven frames capped.
66,67th family: Queen spotted workers present drone numbers fair eggs well-laid good beeswax production and five honey frames ready.
67,68th family: Queen missing worker bees restless drones dwindling egg production stalled and four honey frames at half capacity.
68,69th family: Queen newly mated worker bees thriving drones visible egg count up and nine honey frames nearing completion.
69,70th family: Queen in prime abundant worker bees drone activity normal eggs plentiful and six frames laden with honey.
70,71st family: Queen active workers efficient drone count stable eggs numerous beeswax and honey ample on eight frames.
71,72nd family: Queen seen workers industrious drone presence good egg laying on track with seven frames filled with honey.
72,73rd family: Queen vibrant workers and drones at peak numbers eggs abundant and seven honey frames well-stocked.
73,74th family: Queen present worker bee surge ample drones egg numbers peak copious honey but low beeswax on seven frames.
74,75th family: Queen's health declining workers sluggish drones sparse egg laying slow three frames with scant honey.
75,76th family: Queen prolific workers exceed expectations drone population optimal egg count high and honey abundant in ten frames.
76,77th family: Queen not found worker activity minimal drone count reduced egg laying uncertain honey production on five frames stalled.
77,78th family: Queen reigning well worker bees busy drones numerous eggs filling cells and propolis rich on eight honey frames.
78,79th family: Queen lethargic workers maintaining drone numbers low egg presence moderate with six frames half-filled with honey.
79,80th family: Queen recently replaced workers rallying drones emerging eggs increasing beeswax and honey ample on nine frames.
80,81st family: Queen active workers and drones constant eggs abound seven frames heavy with honey and beeswax.
81,82nd family: Queen vibrant workers industrious drones adequate robust egg production and seven frames filled to the brim with honey.
82,83rd family: Queen absent worker bees disoriented few drones seen eggs scarce and only four honey frames partially capped.
83,84th family: Queen effective workers busy good drone count high egg numbers plenty of beeswax and eight honey frames filled.
84,85th family: Queen missing workers slow drones barely present low egg production and three frames with minimal honey.
85,86th family: Queen recently emerged workers energized drones abundant eggs aplenty and honey thick across nine frames.
86,87th family: Queen robust worker activity high drone numbers strong eggs well laid and ten frames loaded with honey.
87,88th family: Queen ailing worker numbers dwindling few drones reduced egg laying and four honey frames barely capped.
88,89th family: Queen active abundant workers healthy drone population egg production excellent and seven frames full of honey.
89,90th family: Queen unseen workers managing drones limited eggs sporadic with five honey frames in progress.
90,91st family: Queen healthy workers thriving ample drones numerous eggs and eight frames densely packed with honey.
91,92nd family: Queen prolific worker bees buzzing drones in good number high egg count and seven honey frames capped.
92,93rd family: Queen old workers stable drones sufficient moderate egg laying and six frames filled with honey.
93,94th family: Queen vibrant workers actively foraging drone presence high eggs plentiful with ten honey frames well-stocked.
94,95th family: Queen not found workers disorganized few drones eggs scarce and only three honey frames filled.
95,96th family: Queen newly installed workers adapting drone count improving good egg production and eight frames nearing capacity.
96,97th family: Queen healthy strong worker activity ample drones high egg count and seven honey frames fully capped.
97,98th family: Queen aging workers maintaining drones sparse egg laying reduced and five honey frames partially filled.
98,99th family: Queen productive worker bees energetic drones plentiful eggs abounding and nine frames filled with honey.
99,100th family: Queen absent worker bees unsettled drone numbers low poor egg output and four honey frames incomplete.
100,101st family: Queen visible workers thriving drones active robust egg count and ten frames brimming with honey.
101,102nd family: Queen weak workers slow few drones eggs limited and only six honey frames partly filled.
102,103rd family: Queen efficient workers busy good drone population eggs numerous and eight honey frames topped up.
103,104th family: Queen missing workers lethargic drones declining low egg count and five honey frames barely utilized.
104,105th family: Queen laying well workers vibrant drones healthy eggs copious and seven frames densely packed with honey.
105,106th family: Queen absent workers doing minimal foraging drones scarce eggs sparse and three honey frames slowly filling.
106,107th family: Queen strong worker activity high adequate drones good egg production and nine honey frames ready for harvest.
107,108th family: Queen seen workers efficient drones sufficient eggs well-laid and six honey frames fully capped.
108,109th family: Queen energetic workers highly active drones numerous eggs prolific with eight honey frames capped.
109,110th family: Queen not seen workers distressed drone count low egg production stalling and only two honey frames filled.
110,111th family: Queen healthy workers buzzing efficiently drones ample high egg count and ten honey frames well-stocked.
111,112th family: Queen aging workers steady limited drones moderate eggs and seven honey frames nearly complete.
112,113th family: Queen newly emerged workers adjusting drones building good egg numbers and five honey frames capped.
113,114th family: Queen strong worker bees numerous drones healthy eggs abundant and nine frames heavy with honey.
