,text,entities
0,1st family: a healthy queen observed workers are active abundant nectar and pollen collected with a full count of eggs and six honey frames filled.,"[[14, 21, 'HEALTHSTATUS'], [22, 27, 'QUEEN'], [37, 44, 'WORKER'], [45, 55, 'HEALTHSTATUS'], [65, 71, 'FORAGE'], [76, 82, 'FORAGE'], [100, 118, 'EGGCOUNT'], [123, 139, 'HONEYFRAMES']]"
1,2nd family: queenright with an extensive brood pattern workers exhibit high foraging behavior honey stores are high and seven honey frames are heavy with product.,"[[12, 22, 'QUEEN'], [55, 62, 'WORKER'], [94, 99, 'BEEPRODUCT'], [107, 119, 'HEALTHSTATUS'], [120, 138, 'HONEYFRAMES'], [149, 162, 'HEALTHSTATUS']]"
2,3rd family: Queen’s presence confirmed strong brood development a significant amount of propolis bees actively foraging for nectar and all ten honey frames being filled.,"[[12, 19, 'QUEEN'], [88, 96, 'BEEPRODUCT'], [102, 119, 'HEALTHSTATUS'], [124, 130, 'BEEPRODUCT'], [139, 148, 'HONEYFRAMES'], [162, 168, 'HEALTHSTATUS']]"
3,4th family: Queen is laying well the worker population is high honey and beeswax levels are sufficient and there is steady nectar collection with seven honey frames completed.,"[[12, 17, 'QUEEN'], [37, 43, 'WORKER'], [44, 62, 'HEALTHSTATUS'], [63, 68, 'BEEPRODUCT'], [73, 80, 'BEEPRODUCT'], [81, 102, 'HEALTHSTATUS'], [123, 129, 'FORAGE'], [146, 164, 'HONEYFRAMES']]"
4,5th family: Queen is healthy drone population is normal abundant forage activity noted a high volume of eggs present and five honey frames ready for harvest.,"[[12, 17, 'QUEEN'], [21, 28, 'HEALTHSTATUS'], [29, 34, 'DRONE'], [35, 55, 'HEALTHSTATUS'], [89, 108, 'EGGCOUNT'], [121, 138, 'HONEYFRAMES']]"
5,6th family: The queen is missing worker morale seems low reduced pollen intake minimal egg laying and only two honey frames showing progress.,"[[16, 21, 'QUEEN'], [25, 32, 'HEALTHSTATUS'], [33, 39, 'WORKER'], [40, 56, 'HEALTHSTATUS'], [65, 71, 'FORAGE'], [87, 101, 'EGGCOUNT'], [107, 123, 'HONEYFRAMES']]"
6,7th family: Queen is vibrant strong scent of propolis workers bringing in ample nectar egg count satisfactory with all honey frames in active production.,"[[12, 17, 'QUEEN'], [29, 41, 'HEALTHSTATUS'], [45, 53, 'BEEPRODUCT'], [54, 61, 'WORKER'], [74, 86, 'BEEPRODUCT'], [97, 109, 'HEALTHSTATUS'], [115, 152, 'HONEYFRAMES']]"
7,8th family: Queen is old but active workers are steady good pollen reserves adequate egg laying observed and four honey frames fully capped.,"[[12, 17, 'QUEEN'], [21, 35, 'HEALTHSTATUS'], [36, 43, 'WORKER'], [60, 66, 'FORAGE'], [85, 95, 'EGGCOUNT'], [109, 126, 'HONEYFRAMES']]"
8,9th family: New queen seen workers are energetic despite the rain honey stores are fair and nectar foraging is ongoing with five honey frames filled.,"[[16, 21, 'QUEEN'], [27, 34, 'WORKER'], [39, 48, 'HEALTHSTATUS'], [61, 71, 'HONEYFRAMES'], [72, 87, 'HEALTHSTATUS'], [92, 98, 'FORAGE'], [129, 141, 'HONEYFRAMES']]"
9,10th family: Queen’s health is excellent worker bees are efficiently foraging high beeswax production egg laying at peak with seven honey frames sealed.,"[[13, 20, 'QUEEN'], [21, 40, 'HEALTHSTATUS'], [41, 47, 'WORKER'], [57, 77, 'HEALTHSTATUS'], [83, 90, 'BEEPRODUCT'], [102, 120, 'EGGCOUNT'], [126, 144, 'HONEYFRAMES']]"
